Nome,Ruolo,Team,img,avatars,Fanta Media 22-23,Media Voto 22-23,Gol 22-23,Assist 22-23,Fanta Media 23-24,Media Voto 23-24,Gol 23-24,Assist 23-24,Fanta Media 24-25,Media Voto 24-25,Gol 24-25,Assist 24-25,PMA,Quot.,MV,FMV,Presenze,Minuti,Gol,Assist,Ammonizioni,Espulsioni,Rig. Segnati,Rig. Sbagliati,Gol Subiti,Rig. Parati,Prezzo,Titolarità,Affidabilità,Integrità,Prezzo%,Fascia,FMV Exp.,Pt. Tit.,Percentuale Titolare,FantaValue,Tiri_FV,Passaggi_FV,Difesa_FV,Possesso_FV,Azioni_FV,Player1T1,Player2T1,Player1T2,Player2T2,PrezzoTerzetto1,AffinitaTerzetto1,PrezzoTerzetto2,AffinitaTerzetto2,SP1,SP2,SP3,SP4,SP5,PMA300,PMA500,PMA1000,Prezzo300,Prezzo500,Prezzo1000,PrezzoTerzetto1300,PrezzoTerzetto1500,PrezzoTerzetto11000,PrezzoTerzetto2300,PrezzoTerzetto2500,PrezzoTerzetto21000,Diagnosi,11_08_PREZZO_300,11_08_PREZZO_500,11_08_PREZZO_1000,18_08_PREZZO_300,18_08_PREZZO_500,18_08_PREZZO_1000,22_08_PREZZO_300,22_08_PREZZO_500,22_08_PREZZO_1000,24_08_PREZZO_300,24_08_PREZZO_500,24_08_PREZZO_1000,26_08_PREZZO_300,26_08_PREZZO_500,26_08_PREZZO_1000,28_08_PREZZO_300,28_08_PREZZO_500,28_08_PREZZO_1000,02_09_PREZZO_300,02_09_PREZZO_500,02_09_PREZZO_1000,11_08_PMA_300,11_08_PMA_500,11_08_PMA_1000,18_08_PMA_300,18_08_PMA_500,18_08_PMA_1000,22_08_PMA_300,22_08_PMA_500,22_08_PMA_1000,24_08_PMA_300,24_08_PMA_500,24_08_PMA_1000,26_08_PMA_300,26_08_PMA_500,26_08_PMA_1000,28_08_PMA_300,28_08_PMA_500,28_08_PMA_1000,02_09_PMA_300,02_09_PMA_500,02_09_PMA_1000,Titolarita 24/25,Rigorista,CalciPiazzati
DI GREGORIO,P,JUV,di_gregorio.png,di_gregorio_avatar.png,4.99,6.28,0,1,5.47,6.35,0,0,6.0,6.0,0,0,0.1,17,6.35,5.47,33.0,2874.0,0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,47,4,5,4,9.4,Prima,5.41,33.0,100.0,81.8,77.3,80.9,82.7,85.1,79.7,AUDERO,GOLLINI,GOLLINI,SUZUKI,59.0,97.0,57.0,97.0,CARNESECCHI,SVILAR,MERET,MAIGNAN,SOMMER,30,50,100,28,47,94,35,59,118,34,57,114,,29.0,49.0,98.0,28.0,47.0,94.0,29.0,49.0,98.0,29.0,49.0,98.0,29.0,49.0,98.0,31.0,51.0,102.0,31.0,52.0,104.0,30.0,50.0,100.0,30.0,50.0,100.0,30.0,50.0,100.0,30.0,50.0,100.0,33.0,55.0,110.0,33.0,55.0,110.0,31.0,52.0,104.0,75.0,,
SOMMER,P,INT,sommer.png,sommer_avatar.png,-,-,0,0,5.63,6.12,0,0,6.33,6.0,0,0,0.104,18,6.12,5.63,34.0,3060.0,0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,53,4,5,4,10.6,Prima,5.45,34.0,100.0,82.5,77.3,82.0,83.5,86.4,80.0,JORONEN,MONTIPO',SCUFFET,SUZUKI,60.0,93.0,58.0,91.0,CARNESECCHI,SVILAR,MERET,MAIGNAN,DI GREGORIO,31,52,104,32,53,106,36,60,120,35,58,116,,32.0,54.0,108.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,31.0,52.0,104.0,31.0,52.0,104.0,31.0,52.0,104.0,31.0,52.0,104.0,34.0,56.0,112.0,34.0,56.0,112.0,31.0,52.0,104.0,75.0,,
MAIGNAN,P,MIL,maignan.png,maignan_avatar.png,5.34,6.16,0,0,4.86,6.05,0,1,4.5,6.5,0,0,0.094,15,6.05,4.86,29.0,2610.0,0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,43,5,4,3,8.6,Prima,5.08,29.0,100.0,81.5,77.5,80.4,82.8,85.1,79.0,SKORUPSKI,VASQUEZ D.,VASQUEZ D.,FALCONE,60.0,100.0,56.0,100.0,CARNESECCHI,SVILAR,MERET,DI GREGORIO,SOMMER,28,47,94,26,43,86,36,60,120,34,56,112,,26.0,43.0,86.0,26.0,43.0,86.0,26.0,44.0,88.0,26.0,44.0,88.0,26.0,44.0,88.0,26.0,43.0,86.0,26.0,43.0,86.0,28.0,46.0,92.0,28.0,47.0,94.0,28.0,47.0,94.0,28.0,47.0,93.0,30.0,50.0,100.0,30.0,50.0,100.0,25.0,42.0,84.0,95.0,,
SVILAR,P,ROM,svilar.png,svilar_avatar.png,4.83,6.0,0,0,5.37,6.47,0,0,5.67,6.33,0,0,0.078,13,6.47,5.37,15.0,1350.0,0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,37,5,5,5,7.4,Seconda,5.19,15.0,100.0,70.5,66.5,74.8,71.7,75.9,71.3,VASQUEZ D.,MONTIPO',DE GEA,CRAGNO,45.0,97.0,55.0,97.0,PROVEDEL,CARNESECCHI,MERET,MAIGNAN,DI GREGORIO,23,39,78,22,37,74,27,45,90,33,55,110,,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,36.0,72.0,23.0,39.0,78.0,23.0,39.0,78.0,23.0,39.0,78.0,23.0,39.0,78.0,26.0,44.0,88.0,26.0,44.0,88.0,21.0,35.0,70.0,95.0,,
MERET,P,NAP,meret.png,meret_avatar.png,5.56,6.18,0,0,4.97,6.06,0,0,5.0,6.33,0,0,0.084,15,6.06,4.97,31.0,2774.0,0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,39,4,4,3,7.8,Prima,5.17,31.0,100.0,81.3,77.3,79.0,83.4,83.4,78.1,SKORUPSKI,VASQUEZ D.,SKORUPSKI,JORONEN,56.0,97.0,55.0,97.0,CARNESECCHI,SVILAR,MAIGNAN,DI GREGORIO,SOMMER,25,42,84,23,39,78,34,56,112,33,55,110,,25.0,41.0,82.0,23.0,39.0,78.0,23.0,38.0,76.0,23.0,38.0,76.0,23.0,39.0,78.0,23.0,38.0,76.0,25.0,41.0,82.0,25.0,41.0,82.0,25.0,42.0,84.0,24.0,40.0,81.0,24.0,40.0,80.0,27.0,45.0,90.0,27.0,45.0,90.0,23.0,38.0,77.0,75.0,,
CARNESECCHI,P,ATA,carnesecchi.png,carnesecchi_avatar.png,4.63,6.35,0,1,5.3,6.19,0,0,3.5,6.5,0,0,0.07,13,6.19,5.3,27.0,2426.0,0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,32,4,5,4,6.4,Seconda,5.17,27.0,100.0,81.9,77.3,79.3,82.3,83.8,78.3,AUDERO,CRAGNO,AUDERO,MILINKOVIC-SAVIC V.,38.0,97.0,56.0,97.0,MILINKOVIC-SAVIC V.,PROVEDEL,SVILAR,MERET,MAIGNAN,21,35,70,19,32,64,23,38,76,34,56,112,,20.0,33.0,66.0,19.0,32.0,64.0,16.0,27.0,54.0,20.0,34.0,68.0,20.0,33.0,66.0,20.0,33.0,66.0,20.0,34.0,68.0,21.0,35.0,70.0,21.0,35.0,70.0,20.0,34.0,68.0,20.0,33.0,66.0,23.0,39.0,78.0,23.0,39.0,78.0,18.0,30.0,60.0,95.0,,
PROVEDEL,P,LAZ,provedel.png,provedel_avatar.png,5.46,6.26,0,0,5.13,6.23,0,0,4.0,5.67,0,0,0.067,12,6.23,5.13,30.0,2699.0,0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,28,5,5,3,5.6,Seconda,5.16,30.0,100.0,81.3,77.3,79.4,83.2,83.8,78.3,VASQUEZ D.,MONTIPO',GOLLINI,MONTIPO',36.0,100.0,41.0,100.0,DE GEA,MILINKOVIC-SAVIC V.,CARNESECCHI,SVILAR,MERET,20,34,67,17,28,56,22,36,72,25,41,82,,17.0,28.0,56.0,17.0,28.0,56.0,18.0,30.0,60.0,18.0,30.0,60.0,18.0,30.0,60.0,18.0,30.0,60.0,17.0,28.0,56.0,20.0,32.0,65.0,20.0,34.0,67.0,20.0,34.0,67.0,20.0,34.0,67.0,22.0,38.0,75.0,22.0,38.0,75.0,18.0,30.0,60.0,95.0,,
TERRACCIANO,P,FIO,terracciano.png,terracciano_avatar.png,4.78,6.0,0,0,5.26,6.27,0,0,5.17,6.17,0,0,0.006,11,6.27,5.26,33.0,2970.0,0,0.0,3.0,0.0,0.0,0.0,35.0,1.0,3,3,4,4,0.6,Scommesse,5.02,33.0,100.0,81.3,77.3,80.1,82.6,84.6,78.7,SKORUPSKI,MILINKOVIC-SAVIC V.,SKORUPSKI,CRAGNO,37.0,100.0,19.0,97.0,SCUFFET,CAPRILE,SUZUKI,PERIN,OKOYE,2,3,6,2,3,6,22,37,74,11,19,38,,9.0,15.0,30.0,2.0,3.0,6.0,2.0,3.0,6.0,5.0,8.0,16.0,5.0,8.0,16.0,5.0,8.0,16.0,3.0,5.0,10.0,7.0,11.0,22.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,3.0,5.0,10.0,3.0,5.0,10.0,2.0,4.0,8.0,50.0,,
FALCONE,P,LEC,falcone.png,falcone_avatar.png,5.09,6.25,0,0,4.91,6.25,0,0,4.17,6.33,0,0,0.0139999999999999,9,6.25,4.91,38.0,3420.0,0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,11,5,4,5,2.2,Terza,4.89,38.0,100.0,80.7,77.3,78.2,82.9,82.6,77.8,VASQUEZ D.,MAIGNAN,PROVEDEL,MONTIPO',56.0,100.0,45.0,97.0,MONTIPO',GOLLINI,SKORUPSKI,DE GEA,MILINKOVIC-SAVIC V.,4,7,14,7,11,22,34,56,112,27,45,90,,8.0,13.0,26.0,7.0,11.0,22.0,4.0,7.0,14.0,5.0,8.0,16.0,4.0,7.0,14.0,5.0,9.0,18.0,6.0,10.0,20.0,4.0,8.0,15.0,4.0,7.0,14.0,4.0,7.0,14.0,4.0,7.0,14.0,6.0,10.0,20.0,5.0,9.0,18.0,3.0,5.0,10.0,95.0,,
MILINKOVIC-SAVIC V.,P,TOR,milinkovic-savic_v.png,milinkovic-savic_v_avatar.png,4.89,6.03,0,0,5.24,6.12,0,0,6.67,6.83,0,0,0.035,10,6.12,5.24,36.0,3240.0,0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,19,5,4,5,3.8,Seconda,5.08,36.0,100.0,81.4,77.3,80.7,82.5,84.6,79.1,SKORUPSKI,DE GEA,CARNESECCHI,AUDERO,51.0,100.0,56.0,97.0,SKORUPSKI,DE GEA,PROVEDEL,CARNESECCHI,SVILAR,11,18,35,11,19,38,31,51,102,34,56,112,,11.0,18.0,36.0,11.0,19.0,38.0,12.0,20.0,40.0,12.0,20.0,40.0,12.0,20.0,40.0,12.0,20.0,40.0,12.0,20.0,40.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,36.0,11.0,18.0,36.0,13.0,21.0,42.0,13.0,21.0,42.0,14.0,22.0,45.0,95.0,,
